Designator,Footprint,Center-X(mil),Center-Y(mil),Layer,Rotation
U301,STM32_-_COMBO_7X7MM,-1498.326,1908.030,Top,45
U304,SOT-23-3,-525.614,1954.958,Top,0
C305,C0603[1608],-1822.264,1837.206,Top,0
C304,C0603[1608],-1822.264,1992.206,Top,0
C303,C0603[1608],-1402.264,2192.205,Top,270
C301,C0603[1608],-1137.264,1867.206,Top,180
C302,C0603[1608],-1597.264,1622.205,Top,90
C309,C0603[1608],-737.264,1777.206,Top,180
C306,C0603[1608],-537.264,2537.205,Top,90
C310,C0603[1608],-972.264,1842.205,Top,270
C308,C0603[1608],-640.016,1943.857,Top,270
C307,C0603[1608],-422.264,1927.205,Top,90
D279,SOD-123,750.236,-78.740,Top,90
D278,SOD-123,1500.236,-78.740,Top,90
D277,SOD-123,750.236,671.260,Top,90
D276,SOD-123,1500.236,671.260,Top,90
D275,SOD-123,750.236,1421.260,Top,90
D274,SOD-123,1500.236,1421.260,Top,90
D273,SOD-123,750.236,2171.260,Top,90
D272,SOD-123,1500.236,2171.260,Top,90
D271,SOD-123,750.236,2921.260,Top,90
D270,SOD-123,1500.236,2921.260,Top,90
D249,SOD-123,-4872.264,671.260,Top,90
D228_2,SOD-123,-9047.264,1421.260,Top,90
D202,SOD-123,-937.264,2921.260,Top,90
D201,SOD-123,-187.264,2921.260,Top,90
D203,SOD-123,-1687.264,2921.260,Top,90
D204,SOD-123,-2437.264,2921.260,Top,90
D205,SOD-123,-3187.264,2921.260,Top,90
D206,SOD-123,-3937.264,2921.260,Top,90
D207,SOD-123,-4687.264,2921.260,Top,90
D208,SOD-123,-5437.264,2921.260,Top,90
D209,SOD-123,-6187.264,2921.260,Top,90
D210,SOD-123,-6937.264,2921.260,Top,90
D211,SOD-123,-7687.264,2921.260,Top,90
D212,SOD-123,-8437.264,2921.260,Top,90
D213,SOD-123,-9147.264,2921.260,Top,90
D214,SOD-123,-9227.264,2921.260,Top,90
D215,SOD-123,-122.264,2227.206,Top,90
D216,SOD-123,-1057.264,2227.206,Top,90
D217,SOD-123,-2767.264,2171.260,Top,90
D218,SOD-123,-2857.264,2171.260,Top,90
D219,SOD-123,-3517.264,2171.260,Top,90
D220,SOD-123,-3607.264,2171.260,Top,90
D221,SOD-123,-5022.264,2171.260,Top,90
D222,SOD-123,-5102.264,2171.260,Top,90
D223,SOD-123,-6562.264,2171.260,Top,90
D224,SOD-123,-7307.264,2171.260,Top,90
D225,SOD-123,-8017.264,2171.260,Top,90
D226,SOD-123,-8112.264,2171.260,Top,90
D227,SOD-123,-8907.264,2171.260,Top,90
D228,SOD-123,-8812.264,2171.260,Top,90
D229,SOD-123,-402.264,1421.260,Top,90
D230,SOD-123,-802.264,1421.260,Top,90
D231,SOD-123,-2247.264,1421.260,Top,90
D232,SOD-123,-2997.264,1421.260,Top,90
D233,SOD-123,-3692.264,1421.260,Top,90
D234,SOD-123,-3807.264,1421.260,Top,90
D235,SOD-123,-5252.264,1421.260,Top,90
D236,SOD-123,-6039.666,1421.260,Top,90
D237,SOD-123,-6752.264,1421.260,Top,90
D238,SOD-123,-7497.264,1421.260,Top,90
D239,SOD-123,-8247.264,1421.260,Top,90
D240,SOD-123,-8957.264,1421.260,Top,90
D241,SOD-123,-9652.264,0.000,Top,90
D242,SOD-123,-10137.264,1421.260,Top,90
D243,SOD-123,-1167.264,671.260,Top,90
D244,SOD-123,-1084.862,671.260,Top,90
D245,SOD-123,-1877.264,671.260,Top,90
D246,SOD-123,-2627.264,671.260,Top,90
D247,SOD-123,-3377.264,671.260,Top,90
D248,SOD-123,-4122.264,671.260,Top,90
D250,SOD-123,-5622.264,671.260,Top,90
D251,SOD-123,-6372.264,671.260,Top,90
D252,SOD-123,-7127.264,671.260,Top,90
D253,SOD-123,-7877.264,671.260,Top,90
D254,SOD-123,-8702.264,671.260,Top,90
D255,SOD-123,-8787.264,671.260,Top,90
D256,SOD-123,-9977.264,671.260,Top,90
D257,SOD-123,-367.264,0.000,Top,90
D258,SOD-123,-452.264,0.000,Top,90
D259,SOD-123,-8722.264,2171.260,Top,90
D260,SOD-123,-1400.374,0.000,Top,90
D262,SOD-123,-5592.264,0.000,Top,90
D264,SOD-123,-8802.264,0.000,Top,90
D265,SOD-123,-8722.264,0.000,Top,90
D266,SOD-123,-9742.264,0.000,Top,90
CON304,JST_SM04B-SRSS-TB,-3563.336,2734.058,Top,90
Q302,SOT-23-3,-867.264,1807.205,Top,180
Q301,SOT-23-3,-622.264,2437.206,Top,90
R307,R0603[1608],-662.264,2307.205,Top,270
R306,R0603[1608],-281.250,1378.972,Top,270
R304,R0603[1608],-737.264,1832.206,Top,180
R305,R0603[1608],-887.264,1707.206,Top,180
R303,R0603[1608],-1027.264,1842.205,Top,270
S301,XKB_SWITCH,-607.265,1467.206,Top,270
F301,C1206[3216],-662.264,2562.206,Top,180